MID,LEFT,RIGHT
3449,3144,2687
3446,3148,2689
3448,3147,2688
3452,3153,2686
3456,3144,2685
3462,3140,2684
3466,3139,2687
3465,3137,2678
3469,3134,2677
3466,3131,2673
3472,3124,2668
3460,3128,2668
3456,3128,2670
3453,3138,2676
3445,3128,2687
3443,3127,2697
3439,3126,2709
3433,3124,2710
3436,3122,2713
3432,3122,2710
3437,3119,2712
3428,3117,2713
3425,3113,2713
3422,3119,2711
3420,3114,2709
3422,3116,2699
3417,3116,2698
3410,3113,2688
3406,3112,2685
3401,3109,2680
3406,3104,2678
3397,3107,2679
3399,3111,2679
3398,3110,2681
3400,3103,2689
3405,3101,2699
3409,3100,2714
3411,3101,2722
3422,3103,2730
3427,3104,2737
3437,3098,2741
3433,3100,2740
3429,3098,2737
3422,3102,2732
3416,3093,2729
3414,3084,2724
3407,3078,2723
3401,3072,2714
3400,3070,2707
3397,3067,2700
3398,3062,2694
3388,3064,2694
3384,3066,2698
3384,3073,2702
3384,3073,2704
3388,3075,2705
3391,3074,2710
3390,3074,2709
3400,3078,2711
3400,3073,2714
3408,3071,2716
3406,3076,2715
3406,3081,2716
3406,3089,2716
3409,3083,2716
3405,3084,2715
3402,3083,2714
3396,3078,2707
3398,3076,2703
3396,3073,2695
3400,3068,2691
3387,3068,2687
3385,3064,2688
3381,3066,2692
3379,3054,2699
3380,3047,2706
3381,3042,2713
3375,3035,2714
3380,3032,2715
3383,3030,2716
3395,3030,2717
3400,3038,2719
3408,3042,2716
3413,3051,2711
3420,3050,2712
3420,3053,2713
3420,3058,2720
3417,3060,2722
3420,3063,2724
3419,3063,2728
3420,3060,2721
3410,3062,2720
3404,3062,2720
3401,3065,2719
3398,3061,2713
3397,3057,2714
3397,3056,2712
3392,3057,2710
3393,3059,2719
3389,3060,2726
3387,3056,2739
3381,3050,2740
3377,3043,2744
3377,3042,2745
3377,3033,2749
3380,3029,2749
3382,3026,2748
3381,3020,2742
3389,3020,2735
3390,3016,2725
3392,3015,2716
3388,3021,2709
3387,3024,2705
3382,3030,2703
3380,3029,2706
3380,3034,2708
3378,3037,2713
3373,3038,2714
3375,3041,2716
3373,3038,2719
3369,3032,2723
3363,3031,2726
3360,3022,2726
3357,3017,2725
3359,3004,2723
3360,2992,2718
3362,2989,2718
3361,2986,2714
